TF,Out,In,Total,node,type,TF_CliqueFraction
RREB1,271,261,532,RREB1,TF,0.402626753975678
RUNX1,137,237,374,RUNX1,TF,0.0243741814780168
RUNX3,156,206,362,RUNX3,TF,0.010245088868101
RXRA,239,347,586,RXRA,TF,0.650207670720299
RXRB,132,172,304,RXRB,TF,0.00656314312441534
SALL1,234,122,356,SALL1,TF,0.00630121608980355
SALL2,255,238,493,SALL2,TF,0.208965388213283
SMAD1,248,242,490,SMAD1,TF,0.102308699719364
SMAD4,159,24,183,SMAD4,TF,3.74181478016838e-05
SOX1,213,133,346,SOX1,TF,0.00299345182413471
SOX10,218,248,466,SOX10,TF,0.112411599625819
SOX11,252,228,480,SOX11,TF,0.168359214218896
SOX13,198,321,519,SOX13,TF,0.223214218896165
SOX15,235,198,433,SOX15,TF,0.044265668849392
SOX2,253,367,620,SOX2,TF,0.808695977549111
SOX5,211,315,526,SOX5,TF,0.293246024321796
SOX6,201,336,537,SOX6,TF,0.342540692235734
SOX9,269,361,630,SOX9,TF,0.810798877455566
SP1,368,144,512,SP1,TF,0.0176538821328344
SPI1,284,182,466,SPI1,TF,0.112067352666043
SREBF1,134,248,382,SREBF1,TF,0.00492422825070159
SRF,343,234,577,SRF,TF,0.335214218896165
STAT1,319,74,393,STAT1,TF,0.00288868101028999
STAT3,368,234,602,STAT3,TF,0.165260991580917
STAT5A,245,133,378,STAT5A,TF,0.0165687558465856
STAT6,245,338,583,STAT6,TF,0.673421889616464
TCF4,95,354,449,TCF4,TF,0.00692984097287184
TCF7,222,326,548,TCF7,TF,0.541642656688494
TCF7L2,175,256,431,TCF7L2,TF,0.101762394761459
TEAD1,191,368,559,TEAD1,TF,0.421657623947615
TGIF1,132,150,282,TGIF1,TF,0.00110757717492984
THRA,60,290,350,THRA,TF,0.0010177736202058
THRB,152,151,303,THRB,TF,0.00461739943872778
VDR,246,175,421,VDR,TF,0.0296351730589336
YY1,343,203,546,YY1,TF,0.107232927970065
ZBTB38,111,306,417,ZBTB38,TF,0.0309672591206735
ZBTB46,123,255,378,ZBTB46,TF,0.0166585594013096
ZBTB7B,169,225,394,ZBTB7B,TF,0.021133769878391
ZBTB7C,194,286,480,ZBTB7C,TF,0.0712516370439663
ZFHX2,88,275,363,ZFHX2,TF,0.00119738072965388
ZFP41,93,231,324,ZFP41,TF,0.000965388213283443
ZFP62,235,115,350,ZFP62,TF,0.00813470533208606
ZIC1,247,314,561,ZIC1,TF,0.460370439663237
ZIC2,217,159,376,ZIC2,TF,0.0216651075771749
ZIC3,278,169,447,ZIC3,TF,0.0368194574368569
ZIC4,149,287,436,ZIC4,TF,0.0198465855940131
ZNF134,218,21,239,ZNF134,TF,1.49672591206735e-05
ZNF19,226,83,309,ZNF19,TF,0.00169130028063611
ZNF236,316,93,409,ZNF236,TF,0.00408606173994387
ZNF275,148,141,289,ZNF275,TF,0.00172123479887746
ZNF287,186,170,356,ZNF287,TF,0.0170252572497661
ZNF311,125,276,401,ZNF311,TF,0.0170776426566885
ZNF341,214,147,361,ZNF341,TF,0.015266604303087
ZNF383,243,143,386,ZNF383,TF,0.0221814780168382
ZNF470,199,244,443,ZNF470,TF,0.0630944808231993
ZNF521,256,221,477,ZNF521,TF,0.0629822263797942
ZNF524,209,241,450,ZNF524,TF,0.0491824134705332
ZNF526,242,128,370,ZNF526,TF,0.0149597754911132
ZNF536,204,239,443,ZNF536,TF,0.129504209541628
ZNF574,221,135,356,ZNF574,TF,0.00490177736202058
ZNF579,259,189,448,ZNF579,TF,0.0710869971936389
ZNF580,186,173,359,ZNF580,TF,0.00870346117867166
ZNF658,324,33,357,ZNF658,TF,8.23199251637044e-05
ZNF665,187,23,210,ZNF665,TF,7.48362956033676e-06
ZNF678,248,72,320,ZNF678,TF,0.00125724976613658
ZNF682,229,76,305,ZNF682,TF,0.00136202057998129
ZNF696,173,164,337,ZNF696,TF,0.00657811038353602
ZNF699,275,51,326,ZNF699,TF,0.000396632366697848
ZNF701,259,26,285,ZNF701,TF,3.74181478016838e-05
ZNF709,244,126,370,ZNF709,TF,0.0095266604303087
ZNF710,141,288,429,ZNF710,TF,0.0428512628624883
ZNF740,201,127,328,ZNF740,TF,0.00197567820392891
ZNF91,335,83,418,ZNF91,TF,0.00280636108512629
