node,edge
ARNT2,EGR1
ARNT2,EGR3
ARNT2,ELF2
ARNT2,ELF4
ARNT2,ELK3
ARNT2,ESRRA
ARNT2,FIZ1
ARNT2,FOS
ARNT2,FOSL1
ARNT2,FOSL2
ARNT2,FOXH1
ARNT2,FOXJ1
ARNT2,FOXJ2
ARNT2,FOXP1
ARNT2,GLI2
ARNT2,GLIS3
ARNT2,HEY1
ARNT2,HEY2
ARNT2,HMBOX1
ARNT2,HOMEZ
ARNT2,HOXA2
ARNT2,HOXA3
ARNT2,HOXA4
ARNT2,HOXA5
ARNT2,HOXB2
ARNT2,HOXB3
ARNT2,HOXB4
ARNT2,HOXD3
ARNT2,HSF1
ARNT2,IRF1
ARNT2,IRF3
ARNT2,IRF8
ARNT2,IRX3
ARNT2,JDP2
ARNT2,JUN
ARNT2,JUNB
ARNT2,KLF13
ARNT2,KLF15
ARNT2,KLF16
ARNT2,KLF7
ARNT2,LMX1A
ARNT2,MAF
ARNT2,MEF2A
ARNT2,MEF2D
ARNT2,MEIS1
ARNT2,MEIS2
ARNT2,MLX
ARNT2,MNT
ARNT2,MYC
ARNT2,MYCN
ARNT2,NFATC1
ARNT2,NFIA
ARNT2,NFIB
ARNT2,NFIC
ARNT2,NFIX
ARNT2,NR1D1
ARNT2,NR2F1
ARNT2,NR2F2
ARNT2,NR3C2
ARNT2,NR4A2
ARNT2,NR5A2
ARNT2,PAX3
ARNT2,PAX6
ARNT2,PBX3
ARNT2,POU3F2
ARNT2,POU3F3
ARNT2,PPARA
ARNT2,PRDM6
ARNT2,PROX1
ARNT2,RARA
ARNT2,RFX1
ARNT2,RFX4
ARNT2,RORA
ARNT2,RREB1
ARNT2,RXRA
ARNT2,RXRB
ARNT2,SOX1
ARNT2,SOX12
ARNT2,SOX13
ARNT2,SOX2
ARNT2,SOX4
ARNT2,SOX6
ARNT2,SOX8
ARNT2,SOX9
ARNT2,SREBF1
ARNT2,STAT6
ARNT2,TBX1
ARNT2,TCF7
ARNT2,TEAD1
ARNT2,TFAP4
ARNT2,TFEB
ARNT2,TGIF1
ARNT2,THRA
ARNT2,THRB
ARNT2,YY1
ARNT2,ZBTB4
ARNT2,ZBTB46
ARNT2,ZBTB7A
ARNT2,ZBTB7B
ARNT2,ZFHX2
ARNT2,ZFP41
ARNT2,ZFPM1
ARNT2,ZIC2
ARNT2,ZIC5
ARNT2,ZNF174
ARNT2,ZNF213
ARNT2,ZNF236
ARNT2,ZNF26
ARNT2,ZNF264
ARNT2,ZNF324
ARNT2,ZNF408
ARNT2,ZNF433
ARNT2,ZNF470
ARNT2,ZNF497
ARNT2,ZNF516
ARNT2,ZNF521
ARNT2,ZNF524
ARNT2,ZNF536
ARNT2,ZNF557
ARNT2,ZNF558
ARNT2,ZNF574
ARNT2,ZNF579
ARNT2,ZNF580
ARNT2,ZNF581
ARNT2,ZNF621
ARNT2,ZNF629
ARNT2,ZNF696
ARNT2,ZNF701
ARNT2,ZNF71
ARNT2,ZNF710
ARNT2,ZNF823
ARNT2,ZNF83
ARNT2,ZSCAN2
ARNTL,BCL6B
ARNTL,BHLHE40
ARNTL,BHLHE41
ARNTL,CREB5
ARNTL,DEAF1
ARNTL,FOS
ARNTL,FOSL1
ARNTL,GLI2
ARNTL,GZF1
ARNTL,HOXA2
ARNTL,HOXA3
ARNTL,HOXA4
ARNTL,HOXA5
ARNTL,HOXB2
ARNTL,HOXB3
ARNTL,HOXB4
ARNTL,HSF2
ARNTL,ID1
ARNTL,IRF2
ARNTL,IRF7
ARNTL,KLF13
ARNTL,MAFF
ARNTL,MGA
ARNTL,NFATC1
ARNTL,NFIA
ARNTL,NFIC
ARNTL,PRDM6
ARNTL,RARA
ARNTL,RARG
ARNTL,RFX2
ARNTL,RFX4
ARNTL,RXRA
ARNTL,SOX9
ARNTL,ZBTB46
ARNTL,ZFP41
ARNTL,ZNF740
ATF1,ATF3
ATF1,BACH2
ATF1,BCL6
ATF1,BCL6B
ATF1,BCLAF1
ATF1,BHLHE40
ATF1,CAMTA1
ATF1,CEBPD
ATF1,CREB5
ATF1,DBP
ATF1,E2F1
ATF1,EHF
ATF1,ERF
ATF1,ESRRA
ATF1,ESRRG
ATF1,ETV6
ATF1,FOS
ATF1,FOXC1
ATF1,FOXO3
ATF1,FOXP1
ATF1,GLI2
ATF1,GLIS3
ATF1,HBP1
ATF1,HEY1
ATF1,HEY2
ATF1,HOXB2
ATF1,HOXB3
ATF1,HOXB4
ATF1,HOXD3
ATF1,HSF2
ATF1,ID1
ATF1,IRF2
ATF1,IRF8
ATF1,JDP2
ATF1,JUN
ATF1,KLF12
ATF1,KLF13
ATF1,KLF7
ATF1,LMX1A
ATF1,MAFF
ATF1,MECOM
ATF1,MEF2A
ATF1,MEF2D
ATF1,MEIS1
ATF1,MNT
ATF1,MSX1
ATF1,MSX2
ATF1,MYBL2
ATF1,MYCN
ATF1,NFIA
ATF1,NFIB
ATF1,NR3C2
ATF1,PAX6
ATF1,PBX1
ATF1,POU3F2
ATF1,POU3F3
ATF1,PPARA
ATF1,PRDM6
ATF1,RFX4
ATF1,RFX5
ATF1,RORA
ATF1,RUNX1
ATF1,RXRA
ATF1,SOX13
ATF1,SOX2
ATF1,SOX4
ATF1,SOX5
ATF1,SOX6
ATF1,SOX8
ATF1,SOX9
ATF1,SP3
ATF1,SRF
ATF1,STAT6
ATF1,TCF12
ATF1,TCF4
ATF1,TCF7
ATF1,TCF7L1
ATF1,TEAD1
ATF1,ZBTB20
ATF1,ZBTB38
ATF1,ZBTB4
ATF1,ZBTB46
ATF1,ZBTB7C
ATF1,ZFHX2
ATF1,ZFP3
ATF1,ZFP41
ATF1,ZNF135
ATF1,ZNF184
ATF1,ZNF213
ATF1,ZNF22
ATF1,ZNF232
ATF1,ZNF341
ATF1,ZNF408
ATF1,ZNF526
ATF1,ZNF536
ATF1,ZNF672
ATF1,ZNF687
ATF1,ZNF692
ATF1,ZNF710
ATF1,ZNF771
ATF1,ZSCAN1
ATF3,ATF3
ATF3,BACH2
ATF3,BCLAF1
ATF3,CAMTA1
ATF3,CEBPD
ATF3,CREB1
ATF3,CREB5
ATF3,DEAF1
ATF3,EGR1
ATF3,EHF
ATF3,FOS
ATF3,FOSL1
ATF3,FOSL2
ATF3,FOXH1
ATF3,FOXJ1
ATF3,FOXP1
ATF3,GLI2
ATF3,GLIS3
ATF3,HSF1
ATF3,HSF2
ATF3,ID1
ATF3,IRF8
ATF3,JUN
ATF3,KLF13
ATF3,KLF7
ATF3,LMX1A
ATF3,MAF
ATF3,MAFK
ATF3,MECOM
ATF3,MEF2D
ATF3,MEIS1
ATF3,MNT
ATF3,MXI1
ATF3,NFIA
ATF3,PBX1
ATF3,PEG3
ATF3,PKNOX2
ATF3,PRDM6
ATF3,RARA
ATF3,RFX1
ATF3,RFX4
ATF3,RORA
ATF3,RXRA
ATF3,SOX10
ATF3,SOX13
ATF3,SOX2
ATF3,SOX5
ATF3,SOX8
ATF3,SOX9
ATF3,SP3
ATF3,SREBF1
ATF3,STAT6
ATF3,TCF4
ATF3,TEAD1
ATF3,TP53
ATF3,ZBTB38
ATF3,ZBTB7C
ATF3,ZFHX2
ATF3,ZFP3
ATF3,ZFP41
ATF3,ZNF114
ATF3,ZNF135
ATF3,ZNF213
ATF3,ZNF22
ATF3,ZNF232
ATF3,ZNF408
ATF3,ZNF521
ATF3,ZNF606
ATF3,ZNF629
ATF3,ZNF696
ATF3,ZNF771
ATF3,ZSCAN1
ATF3,ZSCAN18
ATF4,ARNTL
ATF4,ATF3
ATF4,BARX2
ATF4,BCL6
ATF4,BCLAF1
ATF4,BHLHE40
ATF4,BHLHE41
ATF4,CAMTA1
ATF4,CEBPB
ATF4,CEBPD
ATF4,CREB5
ATF4,DEAF1
ATF4,E2F3
ATF4,E2F8
ATF4,EHF
ATF4,ESRRA
ATF4,ESRRG
ATF4,ETV6
ATF4,FOS
ATF4,FOSL1
ATF4,FOXC1
ATF4,FOXH1
ATF4,FOXJ1
ATF4,FOXK1
ATF4,FOXO3
ATF4,FOXP1
ATF4,GLI2
ATF4,GLIS3
ATF4,GZF1
ATF4,HEY2
ATF4,HOXA2
ATF4,HOXA3
ATF4,HOXA4
ATF4,HOXA5
ATF4,HOXB2
ATF4,HOXB3
ATF4,HOXB4
ATF4,HOXD3
ATF4,HSF2
ATF4,IRF2
ATF4,IRF7
ATF4,IRF8
ATF4,JDP2
ATF4,JUN
ATF4,KLF12
ATF4,KLF13
ATF4,KLF15
ATF4,KLF5
ATF4,KLF7
ATF4,MAF
ATF4,MAFF
ATF4,MECOM
ATF4,MEF2A
ATF4,MEF2B
ATF4,MEIS2
ATF4,MNT
ATF4,MSX1
ATF4,MXI1
ATF4,NFATC1
ATF4,NFATC2
ATF4,NFE2L2
ATF4,NFIA
ATF4,NFIB
ATF4,NFIL3
ATF4,NFKB2
ATF4,NR1D1
ATF4,NR3C2
ATF4,OLIG3
ATF4,PBX1
ATF4,PKNOX2
ATF4,POU3F2
ATF4,POU3F3
ATF4,POU3F4
ATF4,PPARA
ATF4,PRDM6
ATF4,RARG
ATF4,RFX1
ATF4,RFX2
ATF4,RFX4
ATF4,RFX5
ATF4,RORA
ATF4,RREB1
ATF4,RUNX1
ATF4,RUNX3
ATF4,RXRA
ATF4,SMAD1
ATF4,SMAD3
ATF4,SOX10
ATF4,SOX11
ATF4,SOX13
ATF4,SOX15
ATF4,SOX2
ATF4,SOX4
ATF4,SOX5
ATF4,SOX6
ATF4,SOX9
ATF4,SREBF1
ATF4,SRF
ATF4,TCF12
ATF4,TCF4
ATF4,TCF7
ATF4,TEAD1
ATF4,TEF
