"gene"	"entrez"	"ensembl"
"ERCC4"	2072	"ENSG00000175595"
"ESF1"	51575	"ENSG00000089048"
"ETF1"	2107	"ENSG00000120705"
"EWSR1"	2130	"ENSG00000182944"
"EXOC1"	55763	"ENSG00000090989"
"EXOC2"	55770	"ENSG00000112685"
"EXOC4"	60412	"ENSG00000131558"
"EXOC5"	10640	"ENSG00000070367"
"EXOSC1"	51013	"ENSG00000171311"
"EXOSC10"	5394	"ENSG00000171824"
"EXOSC2"	23404	"ENSG00000130713"
"EXOSC3"	51010	"ENSG00000107371"
"EXOSC5"	56915	"ENSG00000077348"
"EXOSC7"	23016	"ENSG00000075914"
"EXOSC8"	11340	"ENSG00000120699"
"EXOSC9"	5393	"ENSG00000123737"
"FAM210A"	125228	"ENSG00000177150"
"FAM50A"	9130	"ENSG00000071859"
"FAM98B"	283742	"ENSG00000171262"
"FARSA"	2193	"ENSG00000179115"
"FARSB"	10056	"ENSG00000116120"
"FBL"	2091	"ENSG00000105202"
"FCF1"	51077	"ENSG00000119616"
"FDXR"	2232	"ENSG00000161513"
"FEN1"	2237	"ENSG00000168496"
"FH"	2271	"ENSG00000091483"
"FIP1L1"	81608	"ENSG00000145216"
"FNBP4"	23360	"ENSG00000109920"
"FNTB"	2342	"ENSG00000257365"
"FTSJ3"	117246	"ENSG00000108592"
"FXN"	2395	"ENSG00000165060"
"GADD45GIP1"	90480	"ENSG00000179271"
"GAPDH"	2597	"ENSG00000111640"
"GAR1"	54433	"ENSG00000109534"
"GARS1"	2617	"ENSG00000106105"
"GART"	2618	"ENSG00000159131"
"GATC"	283459	"ENSG00000257218"
"GBF1"	8729	"ENSG00000107862"
"GEMIN2"	8487	"ENSG00000092208"
"GEMIN5"	25929	"ENSG00000082516"
"GEMIN8"	54960	"ENSG00000046647"
"GET1"	7485	"ENSG00000182093"
"GET4"	51608	"ENSG00000239857"
"GFER"	2671	"ENSG00000127554"
"GFM1"	85476	"ENSG00000168827"
"GGPS1"	9453	"ENSG00000152904"
"GINS1"	9837	"ENSG00000101003"
"GINS2"	51659	"ENSG00000131153"
